Ball's radius: 1m
Start condition z0: 6m
Start condition v0: 2m/s

Time:	z(t):	v_z(t):	E(t)	Energy error:
9.75	4.35947	-5.99041	127149	316.369
9.8125	3.96591	-6.60353	127149	316.369
9.875	3.53403	-7.21666	127149	316.369
9.9375	3.06383	-7.82978	127149	316.369
10	2.55531	-8.44291	127149	316.369
10.0625	2.00847	-9.05603	127149	316.369
10.125	1.4233	-9.66916	127149	316.369
10.1875	0.799822	-10.2766	127140	324.424
10.25	0.143105	-10.664	128954	1489.28
10.3125	-0.521137	-10.4977	131432	3966.72
10.375	-1.16036	-9.92794	127057	408.187
10.4375	-1.7617	-9.31481	127057	408.187
10.5	-2.32471	-8.70169	127057	408.187
10.5625	-2.84941	-8.08856	127057	408.187
10.625	-3.33578	-7.47544	127057	408.187
10.6875	-3.78384	-6.86231	127057	408.187
10.75	-4.19357	-6.24919	127057	408.187
10.8125	-4.56499	-5.63606	127057	408.187
10.875	-4.89808	-5.02294	127057	408.187
10.9375	-5.19285	-4.40981	127057	408.187
11	-5.44931	-3.79669	127057	408.187
11.0625	-5.66744	-3.18356	127057	408.187
11.125	-5.84725	-2.57044	127057	408.187
11.1875	-5.98874	-1.95731	127057	408.187
11.25	-6.09191	-1.34419	127057	408.187
11.3125	-6.15677	-0.731062	127057	408.187
11.375	-6.1833	-0.117937	127057	408.187
11.4375	-6.17151	0.495188	127057	408.187
11.5	-6.1214	1.10831	127057	408.187
11.5625	-6.03297	1.72144	127057	408.187
11.625	-5.90622	2.33456	127057	408.187
11.6875	-5.74115	2.94769	127057	408.187
11.75	-5.53776	3.56081	127057	408.187
11.8125	-5.29605	4.17394	127057	408.187
11.875	-5.01602	4.78706	127057	408.187
11.9375	-4.69766	5.40019	127057	408.187
12	-4.34099	6.01331	127057	408.187
12.0625	-3.946	6.62644	127057	408.187
12.125	-3.51269	7.23956	127057	408.187
12.1875	-3.04106	7.85269	127057	408.187
12.25	-2.5311	8.46581	127057	408.187
12.3125	-1.98283	9.07894	127057	408.187
12.375	-1.39623	9.69206	127057	408.187
12.4375	-0.771321	10.2978	130277	2811.92
12.5	-0.113821	10.6651	130161	2696.25
12.5625	0.54968	10.4741	127375	89.6157
12.625	1.1871	9.89685	126961	504.271
12.6875	1.78649	9.28372	126961	504.271
12.75	2.34756	8.6706	126961	504.271
12.8125	2.87032	8.05747	126961	504.271
12.875	3.35475	7.44435	126961	504.271
12.9375	3.80086	6.83122	126961	504.271
13	4.20865	6.2181	126961	504.271
13.0625	4.57812	5.60497	126961	504.271
13.125	4.90927	4.99185	126961	504.271
13.1875	5.2021	4.37872	126961	504.271
13.25	5.45661	3.7656	126961	504.271
13.3125	5.6728	3.15247	126961	504.271
13.375	5.85067	2.53935	126961	504.271
13.4375	5.99022	1.92622	126961	504.271
13.5	6.09145	1.3131	126961	504.271
13.5625	6.15436	0.699972	126961	504.271
13.625	6.17895	0.0868471	126961	504.271
13.6875	6.16521	-0.526278	126961	504.271
13.75	6.11316	-1.1394	126961	504.271
13.8125	6.02279	-1.75253	126961	504.271
13.875	5.89409	-2.36565	126961	504.271
13.9375	5.72708	-2.97878	126961	504.271
14	5.52175	-3.5919	126961	504.271
14.0625	5.27809	-4.20503	126961	504.271
14.125	4.99612	-4.81815	126961	504.271
14.1875	4.67582	-5.43128	126961	504.271
14.25	4.31721	-6.0444	126961	504.271
14.3125	3.92027	-6.65753	126961	504.271
14.375	3.48502	-7.27065	126961	504.271
14.4375	3.01144	-7.88378	126961	504.271
14.5	2.49955	-8.4969	126961	504.271
14.5625	1.94933	-9.11003	126961	504.271
14.625	1.36079	-9.72315	126961	504.271
14.6875	0.733936	-10.3264	127011	453.743
14.75	0.0754016	-10.6662	129114	1648.71
14.8125	-0.587117	-10.4435	131165	3700.03
14.875	-1.22224	-9.85776	126874	590.986
14.9375	-1.81919	-9.24463	126874	590.986
15	-2.37781	-8.63151	126874	590.986
15.0625	-2.89812	-8.01838	126874	590.986
15.125	-3.38011	-7.40526	126874	590.986
15.1875	-3.82378	-6.79213	126874	590.986
15.25	-4.22913	-6.17901	126874	590.986
15.3125	-4.59616	-5.56588	126874	590.986
15.375	-4.92486	-4.95276	126874	590.986
15.4375	-5.21525	-4.33963	126874	590.986
15.5	-5.46732	-3.72651	126874	590.986
15.5625	-5.68107	-3.11338	126874	590.986
15.625	-5.85649	-2.50026	126874	590.986
15.6875	-5.9936	-1.88713	126874	590.986
15.75	-6.09238	-1.27401	126874	590.986
15.8125	-6.15285	-0.660882	126874	590.986
15.875	-6.17499	-0.0477575	126874	590.986
15.9375	-6.15882	0.565368	126874	590.986
16	-6.10432	1.17849	126874	590.986
16.0625	-6.01151	1.79162	126874	590.986
16.125	-5.88037	2.40474	126874	590.986
16.1875	-5.71091	3.01787	126874	590.986
16.25	-5.50314	3.63099	126874	590.986
16.3125	-5.25704	4.24412	126874	590.986
16.375	-4.97262	4.85724	126874	590.986
16.4375	-4.64988	5.47037	126874	590.986
16.5	-4.28883	6.08349	126874	590.986
16.5625	-3.88945	6.69662	126874	590.986
16.625	-3.45175	7.30974	126874	590.986
16.6875	-2.97573	7.92287	126874	590.986
16.75	-2.46139	8.53599	126874	590.986
16.8125	-1.90873	9.14912	126874	590.986
16.875	-1.31775	9.76224	126874	590.986
16.9375	-0.68845	10.362	130722	3257.43
17	-0.0286625	10.667	129589	2124.2
17.0625	0.632642	10.4065	127076	388.66
17.125	1.26507	9.81287	126829	635.689
17.1875	1.85921	9.19974	126829	635.689
17.25	2.41503	8.58662	126829	635.689
17.3125	2.93254	7.97349	126829	635.689
